image,MWCov,k,thr,MUCov
0.0,0.643,0.0,0.28,0.003
1.0,0.721,0.0,0.51,0.003
2.0,0.655,0.0,0.41,0.003
3.0,0.451,0.0,0.58,0.002
4.0,0.839,0.0,0.48,0.003
5.0,0.874,0.0,0.45,0.004
6.0,0.662,0.0,0.63,0.003
7.0,0.508,0.0,0.38,0.002
8.0,0.423,0.0,0.39,0.002
9.0,0.721,0.0,0.51,0.003
10.0,0.178,0.0,0.18,0.001
11.0,0.532,0.0,0.46,0.002
12.0,0.715,0.0,0.38,0.003
13.0,0.697,0.0,0.29,0.003
14.0,0.647,0.0,0.48,0.003
15.0,0.774,0.0,0.56,0.003
16.0,0.762,0.0,0.57,0.003
17.0,0.774,0.0,0.46,0.003
18.0,0.781,0.0,0.32,0.003
19.0,0.651,0.0,0.58,0.003
20.0,0.707,0.0,0.49,0.003
21.0,0.734,0.0,0.43,0.003
22.0,0.691,0.0,0.52,0.003
23.0,0.596,0.0,0.51,0.002
24.0,0.655,0.0,0.61,0.003
25.0,0.594,0.0,0.56,0.002
26.0,0.098,0.0,0.01,0.0
27.0,0.67,0.0,0.42,0.003
28.0,0.624,0.0,0.48,0.003
29.0,0.476,0.0,0.59,0.002
30.0,0.753,0.0,0.54,0.003
31.0,0.659,0.0,0.37,0.003
32.0,0.495,0.0,0.44,0.002
33.0,0.617,0.0,0.35,0.002
34.0,0.039,0.0,0.01,0.0
35.0,0.634,0.0,0.39,0.003
36.0,0.73,0.0,0.43,0.003
37.0,0.584,0.0,0.35,0.002
38.0,0.492,0.0,0.37,0.002
39.0,0.683,0.0,0.44,0.003
40.0,0.653,0.0,0.46,0.003
41.0,0.602,0.0,0.3,0.002
42.0,0.77,0.0,0.2,0.003
43.0,0.576,0.0,0.56,0.002
44.0,0.737,0.0,0.64,0.003
46.0,0.735,0.0,0.39,0.003
47.0,0.79,0.0,0.46,0.003
48.0,0.576,0.0,0.67,0.002
49.0,0.637,0.0,0.41,0.003
50.0,0.776,0.0,0.53,0.003
51.0,0.686,0.0,0.41,0.003
53.0,0.495,0.0,0.36,0.002
54.0,0.443,0.0,0.6,0.002
55.0,0.876,0.0,0.5,0.004
56.0,0.693,0.0,0.45,0.003
57.0,0.574,0.0,0.19,0.002
58.0,0.698,0.0,0.27,0.003
59.0,0.599,0.0,0.5,0.002
60.0,0.663,0.0,0.5,0.003
61.0,0.607,0.0,0.51,0.002
62.0,0.424,0.0,0.21,0.002
63.0,0.418,0.0,0.5,0.002
64.0,0.576,0.0,0.48,0.002
65.0,0.723,0.0,0.62,0.003
66.0,0.751,0.0,0.66,0.003
67.0,0.668,0.0,0.47,0.003
68.0,0.781,0.0,0.39,0.003
69.0,0.71,0.0,0.35,0.003
70.0,0.53,0.0,0.57,0.002
71.0,0.683,0.0,0.45,0.003
72.0,0.628,0.0,0.48,0.003
73.0,0.565,0.0,0.55,0.002
74.0,0.74,0.0,0.46,0.003
75.0,0.537,0.0,0.34,0.002
76.0,0.607,0.0,0.58,0.002
77.0,0.33,0.0,0.71,0.001
78.0,0.788,0.0,0.52,0.003
79.0,0.398,0.0,0.5,0.002
80.0,0.74,0.0,0.38,0.003
81.0,0.533,0.0,0.43,0.002
82.0,0.631,0.0,0.35,0.003
83.0,0.897,0.0,0.41,0.004
84.0,0.581,0.0,0.46,0.002
85.0,0.436,0.0,0.42,0.002
86.0,0.583,0.0,0.42,0.002
87.0,0.787,0.0,0.36,0.003
88.0,0.7,0.0,0.4,0.003
89.0,0.709,0.0,0.36,0.003
90.0,0.394,0.0,0.39,0.002
91.0,0.885,0.0,0.5,0.004
92.0,0.573,0.0,0.46,0.002
93.0,0.682,0.0,0.49,0.003
94.0,0.623,0.0,0.47,0.003
95.0,0.65,0.0,0.55,0.003
96.0,0.653,0.0,0.42,0.003
97.0,0.76,0.0,0.49,0.003
98.0,0.757,0.0,0.44,0.003
99.0,0.76,0.0,0.44,0.003
100.0,0.702,0.0,0.39,0.003
101.0,0.511,0.0,0.43,0.002
102.0,0.635,0.0,0.29,0.003
103.0,0.566,0.0,0.52,0.002
104.0,0.417,0.0,0.32,0.002
105.0,0.743,0.0,0.69,0.003
106.0,0.543,0.0,0.56,0.002
107.0,0.411,0.0,0.42,0.002
108.0,0.687,0.0,0.35,0.003
109.0,0.72,0.0,0.48,0.003
110.0,0.727,0.0,0.33,0.003
111.0,0.64,0.0,0.71,0.003
112.0,0.538,0.0,0.46,0.002
113.0,0.773,0.0,0.58,0.003
114.0,0.454,0.0,0.51,0.002
115.0,0.664,0.0,0.47,0.003
116.0,0.596,0.0,0.49,0.002
117.0,0.454,0.0,0.55,0.002
118.0,0.664,0.0,0.48,0.003
119.0,0.622,0.0,0.41,0.003
120.0,0.605,0.0,0.51,0.002
121.0,0.606,0.0,0.53,0.002
122.0,0.289,0.0,0.33,0.001
123.0,0.301,0.0,0.48,0.001
124.0,0.631,0.0,0.46,0.003
125.0,0.689,0.0,0.31,0.003
126.0,0.577,0.0,0.38,0.002
127.0,0.684,0.0,0.58,0.003
128.0,0.405,0.0,0.42,0.002
129.0,0.77,0.0,0.5,0.003
130.0,0.588,0.0,0.61,0.002
131.0,0.744,0.0,0.52,0.003
132.0,0.795,0.0,0.49,0.003
133.0,0.58,0.0,0.47,0.002
134.0,0.416,0.0,0.61,0.002
135.0,0.711,0.0,0.47,0.003
136.0,0.713,0.0,0.69,0.003
137.0,0.766,0.0,0.47,0.003
138.0,0.509,0.0,0.48,0.002
139.0,0.744,0.0,0.59,0.003
140.0,0.622,0.0,0.41,0.003
141.0,0.533,0.0,0.5,0.002
142.0,0.818,0.0,0.2,0.003
143.0,0.637,0.0,0.48,0.003
144.0,0.776,0.0,0.39,0.003
145.0,0.378,0.0,0.5,0.002
146.0,0.52,0.0,0.43,0.002
147.0,0.774,0.0,0.53,0.003
148.0,0.631,0.0,0.35,0.003
149.0,0.431,0.0,0.46,0.002
150.0,0.625,0.0,0.74,0.003
151.0,0.483,0.0,0.44,0.002
152.0,0.358,0.0,0.5,0.001
153.0,0.616,0.0,0.52,0.002
154.0,0.448,0.0,0.45,0.002
155.0,0.551,0.0,0.37,0.002
156.0,0.392,0.0,0.52,0.002
157.0,0.418,0.0,0.5,0.002
158.0,0.821,0.0,0.41,0.003
159.0,0.599,0.0,0.37,0.002
160.0,0.362,0.0,0.51,0.001
161.0,0.343,0.0,0.55,0.001
162.0,0.699,0.0,0.57,0.003
163.0,0.615,0.0,0.48,0.002
164.0,0.591,0.0,0.47,0.002
165.0,0.588,0.0,0.36,0.002
166.0,0.703,0.0,0.44,0.003
167.0,0.802,0.0,0.52,0.003
168.0,0.744,0.0,0.43,0.003
169.0,0.747,0.0,0.45,0.003
170.0,0.703,0.0,0.54,0.003
171.0,0.503,0.0,0.51,0.002
172.0,0.754,0.0,0.36,0.003
173.0,0.702,0.0,0.48,0.003
174.0,0.344,0.0,0.49,0.001
175.0,0.508,0.0,0.58,0.002
176.0,0.435,0.0,0.64,0.002
177.0,0.729,0.0,0.22,0.003
178.0,0.71,0.0,0.49,0.003
179.0,0.756,0.0,0.44,0.003
180.0,0.496,0.0,0.56,0.002
181.0,0.55,0.0,0.47,0.002
182.0,0.539,0.0,0.34,0.002
183.0,0.77,0.0,0.4,0.003
184.0,0.55,0.0,0.49,0.002
185.0,0.352,0.0,0.4,0.001
186.0,0.79,0.0,0.32,0.003
187.0,0.684,0.0,0.54,0.003
188.0,0.663,0.0,0.56,0.003
189.0,0.739,0.0,0.44,0.003
190.0,0.554,0.0,0.28,0.002
191.0,0.744,0.0,0.48,0.003
192.0,0.492,0.0,0.48,0.002
193.0,0.7,0.0,0.32,0.003
194.0,0.41,0.0,0.38,0.002
195.0,0.496,0.0,0.35,0.002
196.0,0.671,0.0,0.43,0.003
197.0,0.694,0.0,0.43,0.003
198.0,0.71,0.0,0.7,0.003
199.0,0.556,0.0,0.54,0.002
200.0,0.722,0.0,0.56,0.003
201.0,0.312,0.0,0.44,0.001
202.0,0.393,0.0,0.44,0.002
203.0,0.364,0.0,0.45,0.001
204.0,0.647,0.0,0.57,0.003
205.0,0.318,0.0,0.37,0.001
206.0,0.577,0.0,0.54,0.002
207.0,0.68,0.0,0.57,0.003
208.0,0.557,0.0,0.26,0.002
209.0,0.679,0.0,0.32,0.003
210.0,0.483,0.0,0.45,0.002
211.0,0.627,0.0,0.49,0.003
212.0,0.715,0.0,0.47,0.003
213.0,0.677,0.0,0.47,0.003
214.0,0.702,0.0,0.49,0.003
215.0,0.678,0.0,0.47,0.003
216.0,0.539,0.0,0.4,0.002
217.0,0.593,0.0,0.5,0.002
218.0,0.575,0.0,0.5,0.002
219.0,0.837,0.0,0.57,0.003
220.0,0.77,0.0,0.66,0.003
221.0,0.593,0.0,0.51,0.002
222.0,0.397,0.0,0.48,0.002
223.0,0.607,0.0,0.39,0.002
224.0,0.68,0.0,0.52,0.003
225.0,0.515,0.0,0.47,0.002
226.0,0.81,0.0,0.48,0.003
227.0,0.455,0.0,0.59,0.002
228.0,0.677,0.0,0.6,0.003
229.0,0.759,0.0,0.73,0.003
230.0,0.667,0.0,0.48,0.003
231.0,0.548,0.0,0.58,0.002
232.0,0.597,0.0,0.62,0.002
233.0,0.452,0.0,0.37,0.002
234.0,0.796,0.0,0.45,0.003
235.0,0.747,0.0,0.51,0.003
236.0,0.78,0.0,0.52,0.003
238.0,0.735,0.0,0.44,0.003
239.0,0.592,0.0,0.51,0.002
240.0,0.545,0.0,0.69,0.002
241.0,0.574,0.0,0.41,0.002
242.0,0.751,0.0,0.59,0.003
243.0,0.761,0.0,0.44,0.003
244.0,0.598,0.0,0.48,0.002
245.0,0.711,0.0,0.6,0.003
246.0,0.559,0.0,0.29,0.002
247.0,0.425,0.0,0.45,0.002
248.0,0.607,0.0,0.36,0.002
249.0,0.546,0.0,0.61,0.002
